Code,State,Pov,Party,TC,TD,Pop,WD,WP,diffW,BD,BP,diffB,Dunder55,Dover55,D55-65,Deaths65,65Over,D65,Wd65, Bd65,Wp65,Bp65
AK,Alabama,0.15,2,1359051,19759,4903185,0.7,0.65,0.05,0.27,0.27,0,2700,17059,3218,0.70,0.17,13841,10519,1384,0.76,0.1
AL,Alaska,0.1,2,261987,1252,731545,0.52,0.6,-0.08,0.02,0.02,0,207,1045,229,0.65,0.12,816,620,82,0.76,0.1
AR,Arizona,0.13,1,2125567,30515,7278717,0.56,0.54,0.02,0.04,0.04,0,4582,25933,4170,0.71,0.18,21763,16540,2176,0.76,0.1
AZ,Arkansas,0.15,2,866816,11585,3017804,0.8,0.72,0.08,0.14,0.15,-0.01,1356,10229,1714,0.73,0.17,8515,6471,851,0.76,0.1
CA,California,0.12,2,10154345,92620,39512223,0.35,0.36,-0.01,0.07,0.05,0.02,11548,81072,15967,0.70,0.14,65105,49480,6511,0.76,0.1
CO,Colorado,0.09,2,1538051,13349,5758736,0.67,0.68,-0.01,0.04,0.04,0,1423,11926,1843,0.76,0.14,10083,7663,1008,0.76,0.1
CT,Connecticut,0.1,2,828263,11034,3565287,0.74,0.66,0.08,0.13,0.1,0.03,654,10380,1205,0.83,0.17,9175,6973,918,0.76,0.1
DE,Delaware,0.11,2,285403,2984,973764,0.73,0.61,0.12,0.21,0.22,-0.01,240,2744,384,0.79,0.19,2360,1794,236,0.76,0.1
DC,District Of Columbia,0.15,2,157041,1351,705749,0.13,0.37,-0.24,0.72,0.45,0.27,68,1283,412,0.64,0.12,871,662,87,0.76,0.1
FL,Florida,0.13,1,6537621,75891,21477737,0.58,0.53,0.05,0.17,0.15,0.02,9372,66519,10370,0.74,0.21,56149,42673,5615,0.76,0.1
GA,Georgia,0.13,2,2647568,38579,10617423,0.61,0.52,0.09,0.32,0.31,0.01,6275,32304,5585,0.69,0.14,26719,20307,2672,0.76,0.1
HI,Hawaii,0.09,2,308695,1504,1415872,0.11,0.2,-0.09,0.01,0.01,0,248,1256,260,0.66,0.18,996,757,100,0.76,0.1
IA,Idaho,0.11,1,464094,4981,1787065,0.87,0.82,0.05,0.01,0.01,0,455,4526,642,0.78,0.16,3884,2952,388,0.76,0.1
ID,Illinois,0.12,2,3435405,38601,12671821,0.64,0.61,0.03,0.18,0.14,0.04,4068,34533,4598,0.78,0.16,29935,22750,2993,0.76,0.1
IL,Indiana,0.12,1,1775886,23882,6732219,0.85,0.79,0.06,0.1,0.09,0.01,2002,21880,3244,0.78,0.16,18636,14164,1864,0.76,0.1
IN,Iowa,0.11,1,902447,9688,3155070,0.92,0.85,0.07,0.03,0.04,-0.01,681,9007,1110,0.82,0.17,7897,6002,790,0.76,0.1
KS,Kansas,0.11,1,806934,8952,2913314,0.82,0.76,0.06,0.06,0.05,0.01,861,8091,1173,0.77,0.16,6918,5258,692,0.76,0.1
KY,Kentucky,0.16,1,1405062,16172,4467673,0.91,0.84,0.07,0.07,0.08,-0.01,1485,14687,2561,0.75,0.16,12126,9216,1213,0.76,0.1
LA,Louisiana,0.18,1,1310829,17418,4648794,0.61,0.59,0.02,0.35,0.32,0.03,2440,14978,2607,0.71,0.15,12371,9402,1237,0.76,0.1
MA,Maine,0.11,2,270331,2419,1344212,0.97,0.93,0.04,0.01,0.01,0,183,2236,306,0.80,0.21,1930,1467,193,0.76,0.1
MD,Maryland,0.09,2,1136317,14794,6045680,0.54,0.5,0.04,0.35,0.3,0.05,1359,13435,2151,0.76,0.15,11284,8576,1128,0.76,0.1
ME,Massachusetts,0.09,2,1926543,20953,6892503,0.8,0.7,0.1,0.08,0.07,0.01,1314,19639,1726,0.85,0.17,17913,13614,1791,0.76,0.1
MI,Michigan,0.13,2,2606431,36918,9986857,0.75,0.75,0,0.19,0.13,0.06,4270,32648,4504,0.76,0.17,28144,21389,2814,0.76,0.1
MN,Minnesota,0.09,2,1552840,13127,5639632,0.86,0.79,0.07,0.05,0.06,-0.01,975,12152,1476,0.81,0.16,10676,8114,1068,0.76,0.1
MO,Mississippi,0.19,1,836757,12526,2976149,0.59,0.57,0.02,0.38,0.38,0,1512,11014,2216,0.70,0.16,8798,6686,880,0.76,0.1
MP,Missouri,0.12,1,1496296,20647,6137428,0.84,0.79,0.05,0.12,0.11,0.01,1935,18712,2976,0.76,0.17,15736,11960,1574,0.76,0.1
MS,Montana,0.12,1,287145,3445,1068778,0.83,0.86,-0.03,0.01,0.01,0,278,3167,495,0.78,0.19,2672,2031,267,0.76,0.1
MT,Nebraska,0.1,1,500574,4342,1934408,0.88,0.79,0.09,0.04,0.05,-0.01,308,4034,618,0.79,0.16,3416,2596,342,0.76,0.1
NC,Nevada,0.12,2,773841,11039,3080156,0.55,0.48,0.07,0.1,0.09,0.01,1498,9541,1812,0.70,0.16,7729,5874,773,0.76,0.1
ND,New Hampshire,0.07,2,332364,2586,1359711,0.96,0.9,0.06,0.01,0.01,0,162,2424,220,0.85,0.18,2204,1675,220,0.76,0.1
NE,New Jersey,0.09,2,2495905,34064,8882190,0.59,0.54,0.05,0.17,0.12,0.05,3170,30894,4419,0.78,0.16,26475,20121,2648,0.76,0.1
NH,New Mexico,0.18,2,564678,7946,2096829,0.32,0.37,-0.05,0.01,0.02,-0.01,1462,6484,1308,0.65,0.18,5176,3934,518,0.76,0.1
NJ,New York,0.13,2,5793090,70193,19453561,0.53,0.55,-0.02,0.2,0.14,0.06,8807,61386,4327,0.81,0.16,57059,43365,5706,0.76,0.1
NM,North Carolina,0.13,1,2867218,25209,10488084,0.7,0.63,0.07,0.23,0.21,0.02,2116,23093,4506,0.74,0.16,18587,14126,1859,0.76,0.1
NV,North Dakota,0.1,1,250035,2296,762062,0.87,0.84,0.03,0.01,0.02,-0.01,136,2160,330,0.80,0.15,1830,1391,183,0.76,0.1
NY,Ohio,0.13,1,2848453,38852,11689100,0.85,0.79,0.06,0.12,0.12,0,2438,36414,5715,0.79,0.17,30699,23331,3070,0.76,0.1
OH,Oklahoma,0.15,1,1073197,14472,3956971,0.73,0.65,0.08,0.07,0.07,0,1465,13007,2521,0.72,0.16,10486,7969,1049,0.76,0.1
OK,Oregon,0.12,2,813051,7818,4217737,0.83,0.75,0.08,0.02,0.02,0,859,6959,1055,0.76,0.18,5904,4487,590,0.76,0.1
OR,Pennsylvania,0.12,2,3006257,45766,12801989,0.83,0.76,0.07,0.11,0.1,0.01,3113,42653,5590,0.81,0.18,37063,28168,3706,0.76,0.1
PA,Rhode Island,0.11,1,403052,3611,1059361,0.86,0.71,0.15,0.05,0.06,-0.01,174,3437,351,0.85,0.17,3086,2345,309,0.76,0.1
SC,South Carolina,0.14,1,1535392,18007,5148714,0.67,0.64,0.03,0.29,0.26,0.03,1993,16014,2765,0.74,0.18,13249,10070,1325,0.76,0.1
SD,South Dakota,0.12,1,244523,2938,884659,0.85,0.82,0.03,0.01,0.02,-0.01,225,2713,360,0.80,0.17,2353,1789,235,0.76,0.1
TN,Tennessee,0.14,1,2124120,26714,6829174,0.8,0.74,0.06,0.17,0.16,0.01,3340,23374,4287,0.71,0.16,19087,14506,1909,0.76,0.1
TX,Texas,0.13,1,7182092,89171,28995881,0.46,0.41,0.05,0.11,0.12,-0.01,13053,76118,16943,0.66,0.13,59175,44973,5917,0.76,0.1
UT,Utah,0.08,2,982895,4834,3205958,0.77,0.78,-0.01,0.01,0.01,0,695,4139,769,0.70,0.11,3370,2561,337,0.76,0.1
VA,Vermont,0.1,1,135668,683,623989,0.97,0.93,0.04,0.01,0.01,0,46,637,57,0.85,0.19,580,441,58,0.76,0.1
VT,Virginia,0.1,1,1872624,20630,8535519,0.67,0.61,0.06,0.23,0.19,0.04,1972,18658,2747,0.77,0.15,15911,12092,1591,0.76,0.1
WA,Washington,0.1,2,1666301,13275,7614893,0.75,0.68,0.07,0.03,0.04,-0.01,1542,11733,1731,0.75,0.15,10002,7602,1000,0.76,0.1
WI,West Virginia,0.17,1,533213,7064,1792147,0.96,0.93,0.03,0.03,0.03,0,694,6370,983,0.76,0.20,5387,4094,539,0.76,0.1
WV,Wisconsin,0.11,2,1728344,14807,5822434,0.86,0.81,0.05,0.07,0.06,0.01,1179,13628,1747,0.80,0.17,11881,9029,1188,0.76,0.1
WY,Wyoming,0.1,1,164456,1834,578759,0.84,0.84,0,0.01,0.01,0,208,1626,221,0.77,0.17,1405,1068,140,0.76,0.1
